propertyid,latitude,longitude,bedrooms,bathrooms,averagedailyrateusd,rating_overall,rating_communication,rating_accuracy,rating_cleanliness,rating_checkin,rating_location,rating_value,reservationdays1,reservationdays2,reservationdays3,reservationdays4,reservationdays5,reservationdays6,reservationdays7,reservationdays8,reservationdays9,reservationdays10,reservationdays11,reservationdays12,nmon,gift
6435814,37.862846,-122.29408,1,1.0,95.099998,99,10,10,10,10,10,10,10.333333,11.0,19.0,16.5,16.0,19.0,11.0,22.0,9.666667,14.333333,12.333333,6.0,33,0
13169268,37.787178,-122.4094,1,1.0,106.02,92,9,10,10,10,10,9,27.0,25.5,31.0,24.0,14.0,26.5,23.0,28.0,29.0,25.0,22.0,26.0,18,0
692753,37.7775,-122.21194,1,1.0,89.25,96,10,9,9,10,8,9,0.0,0.0,0.0,0.0,1.0,0.66666669,0.0,0.33333334,0.0,2.6666667,0.5,0.0,28,0
6329340,37.77832,-122.44561,3,1.0,316.79001,98,10,9,10,10,9,9,0.0,0.0,0.66666669,1.5,2.3333333,0.0,10.5,2.3333333,9.333333,7.6666665,0.0,4.0,33,0
14776124,37.479645,-122.23334,2,1.0,141.53,94,10,10,10,10,10,10,31.0,28.0,28.0,30.0,22.0,23.0,30.0,30.0,9.0,2.0,23.0,31.0,12,0
6435807,37.770382,-122.16228,1,1.0,46.459999,90,9,9,9,9,9,9,19.0,14.0,17.0,16.0,15.333333,18.333334,13.0,26.5,14.0,17.0,11.333333,7.0,28,0
14268180,37.448757,-122.18063,3,2.5,513.23999,100,10,10,10,10,10,10,0.0,0.0,7.0,0.0,1.0,8.0,25.0,0.0,27.0,4.0,9.0,0.0,12,1
6940276,37.8232,-122.25242,2,1.0,204.73,97,10,10,10,10,10,9,21.0,19.0,23.5,18.0,23.0,22.0,28.0,26.0,30.0,17.0,22.0,22.0,18,1
3522123,37.826229,-122.26304,2,1.0,151.72,100,10,10,10,10,10,10,13.5,14.5,5.0,0.0,0.0,1.0,26.0,4.0,0.0,8.0,15.0,3.0,16,0
14980726,37.791573,-122.40647,0,1.0,277.14001,90,10,10,10,10,10,9,3.5,5.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.5,0.0,17,0
5004959,37.79739,-122.41914,1,1.0,131.78,95,10,10,9,10,10,9,8.5,12.5,17.333334,16.333334,23.333334,21.0,25.0,23.0,21.333334,19.666666,6.0,9.0,39,0
5969074,37.772438,-122.42635,1,1.0,153.56,95,10,10,10,10,9,9,17.666666,25.0,27.5,11.5,23.333334,26.333334,28.0,28.333334,24.666666,28.0,21.0,15.0,33,1
10403975,37.545597,-122.2843,1,1.0,199.14999,92,10,9,9,10,9,9,5.5,5.5,11.5,9.5,11.5,14.5,30.5,26.5,19.5,21.5,30.0,12.0,22,1
14996188,37.758488,-122.47023,0,1.0,141.48,100,10,10,10,10,10,10,23.5,23.5,27.0,28.0,27.0,27.0,28.0,28.0,12.0,18.5,24.5,15.5,19,0
2326354,37.47171,-122.20064,1,1.0,115.26,95,10,10,10,10,9,10,26.25,25.5,28.25,22.0,28.0,29.0,29.0,27.25,28.0,26.5,24.333334,25.333334,42,0
3194055,37.811344,-122.27734,1,1.0,48.220001,92,10,10,9,10,8,9,18.0,14.666667,13.0,21.0,24.333334,24.666666,22.666666,22.0,27.0,24.75,21.5,16.0,38,0
3218306,37.759026,-122.44409,1,1.0,161.25,98,10,10,10,10,10,10,14.333333,18.666666,21.75,22.333334,25.333334,25.666666,14.666667,21.0,17.75,14.0,18.0,9.333333,40,0
14789812,37.936787,-122.35445,3,3.0,167.71001,96,10,10,10,10,9,10,19.0,22.0,26.5,18.0,14.0,23.0,27.0,17.0,19.0,30.5,26.5,9.0,19,1
10730214,37.817768,-122.24878,2,2.0,274.73001,98,10,10,10,10,10,10,8.0,4.5,22.0,18.0,17.0,26.0,20.0,4.5,16.0,23.0,11.0,8.5,19,1
8761123,37.56876,-122.25759,1,1.5,45.57,94,10,9,10,10,10,10,27.0,21.0,18.0,6.0,22.0,1.0,18.0,14.5,20.5,13.5,20.0,10.0,18,0
14196020,37.707554,-121.79707,1,1.0,80.0,100,10,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0,12.0,0.5,2.0,4.0,0.0,0.0,0.0,13,0
11554786,37.942421,-122.3336,0,1.0,49.66,95,10,10,10,10,9,10,12.0,27.5,25.5,13.0,23.0,29.0,21.0,26.0,14.0,10.5,5.5,21.0,18,0
7134681,37.805111,-122.21053,1,1.0,81.400002,98,10,10,10,10,10,10,16.666666,15.0,5.3333335,21.5,27.5,25.0,18.0,26.0,21.0,15.0,13.0,7.3333335,33,0
12408491,37.719002,-122.43903,1,1.0,85.699997,91,9,9,9,9,8,9,19.0,22.0,27.0,26.0,28.0,23.0,27.5,27.5,25.5,22.5,9.0,9.0,18,0
15659163,37.702789,-122.48003,1,1.0,65.230003,84,9,9,8,9,9,9,29.0,23.0,30.0,12.0,26.0,26.0,31.0,31.0,23.0,1.5,18.0,28.0,13,1
14343580,37.977421,-122.48111,4,3.0,403.48001,94,9,10,9,9,10,9,4.0,7.0,12.0,13.0,13.0,20.0,24.0,9.5,22.5,20.5,13.5,13.0,18,1
13557468,37.969574,-122.53658,1,1.0,71.400002,97,10,10,10,10,9,10,7.5,6.5,3.0,7.0,10.0,9.5,14.5,8.5,11.5,10.5,10.5,19.5,22,0
13866653,37.726585,-122.41729,1,1.0,120.07,94,10,10,10,10,9,9,30.0,28.0,31.0,30.0,31.0,30.0,14.5,28.5,30.0,30.5,25.5,22.5,21,0
10706060,37.815826,-122.24874,1,1.0,51.169998,86,9,9,8,9,10,9,12.0,18.0,14.333333,12.5,24.0,22.5,26.5,27.0,18.5,24.5,16.0,16.5,26,0
4156390,37.739674,-122.42694,1,1.0,94.599998,96,10,10,10,10,9,10,25.25,24.25,27.5,25.333334,28.333334,29.333334,28.666666,27.0,27.666666,27.75,21.25,20.25,42,0
5536139,37.541805,-122.31316,1,1.5,89.559998,98,10,10,10,10,10,10,7.5,0.5,4.5,10.5,11.5,21.0,11.5,19.0,20.0,16.0,14.0,12.0,19,0
6954301,37.830353,-122.28427,1,1.0,88.239998,98,10,10,10,10,10,10,0.0,8.666667,18.0,6.0,6.5,8.0,15.0,14.5,16.5,15.5,2.0,0.0,26,0
6646247,37.735752,-122.15628,1,1.0,104.06,97,9,10,10,10,10,10,13.0,11.0,12.5,7.5,5.5,26.0,22.333334,16.0,16.333334,15.333333,13.333333,15.0,28,0
11149448,37.675678,-121.76304,1,1.0,96.370003,99,10,10,10,10,10,10,0.5,6.6666665,8.0,8.0,12.5,23.5,16.5,9.5,6.0,8.0,9.0,12.0,26,0
4903255,37.459179,-122.4424,1,1.0,109.21,94,10,10,9,10,10,10,17.75,24.75,26.75,25.0,30.0,29.333334,29.333334,29.666666,27.666666,28.0,25.0,21.0,40,0
4728615,37.786884,-122.40778,1,1.0,96.230003,87,9,9,9,9,10,9,24.0,25.666666,19.5,12.333333,21.0,16.333334,16.0,27.0,15.0,15.0,3.6666667,18.0,33,0
7825894,37.797699,-122.42117,0,1.0,186.32001,96,10,10,10,10,10,9,4.6666665,7.5,8.0,4.5,10.5,9.0,18.5,12.333333,12.0,19.0,11.0,6.5,26,0
5704220,37.773746,-121.9073,1,1.0,102.88,97,10,10,10,10,10,10,10.0,10.333333,4.0,7.0,7.6666665,13.0,16.333334,14.666667,12.5,8.0,0.5,1.5,33,0
867499,37.7714,-122.42329,1,1.0,175.47,100,10,10,10,10,10,10,2.0,1.25,1.0,0.0,6.0,8.0,3.0,14.0,6.6666665,3.5,3.75,0.25,34,0
6203274,37.848419,-122.25929,2,1.0,157.57001,97,10,10,10,10,10,10,19.0,24.5,17.333334,17.666666,8.333333,21.5,16.5,16.666666,12.666667,12.333333,17.5,20.666666,32,0
13970165,37.745033,-122.41095,1,2.0,134.83,99,10,10,10,10,10,10,20.0,24.5,23.0,28.0,27.0,27.0,20.0,28.0,23.5,23.0,14.5,21.0,21,0
13170498,37.76907,-122.4528,0,1.0,150.75999,94,10,10,9,10,9,9,31.0,13.0,31.0,30.0,22.0,30.0,19.5,10.0,17.0,7.0,26.0,19.0,14,1
6107258,37.797813,-122.42502,1,1.0,188.53,87,9,9,9,9,9,9,15.0,6.6666665,13.0,8.0,9.333333,8.0,6.0,14.0,14.0,11.0,6.0,14.5,23,1
276073,37.884407,-122.2878,1,1.0,78.290001,95,10,10,9,10,10,10,12.5,22.0,18.666666,18.333334,23.333334,25.333334,23.666666,26.5,1.0,18.333334,13.333333,7.25,35,0
209514,37.771183,-122.44962,1,2.0,96.529999,93,10,10,9,10,9,9,16.0,12.0,24.25,18.0,27.666666,28.666666,29.333334,27.25,27.25,27.25,13.25,11.0,44,0
16206178,37.520855,-121.96314,1,1.5,42.860001,98,10,10,10,10,10,10,23.0,21.0,13.5,14.0,28.0,11.0,20.0,28.0,9.0,31.0,18.0,19.0,16,0
2319153,37.885563,-122.03417,1,1.0,45.349998,99,10,10,10,10,10,10,6.0,4.6666665,11.333333,4.5,20.5,20.5,15.5,18.5,14.75,13.75,12.666667,14.0,34,0
8480584,37.855103,-122.11668,2,1.0,74.610001,93,10,9,9,10,9,9,3.6666667,2.6666667,9.666667,2.0,13.5,12.0,12.5,8.0,9.0,3.5,7.5,11.5,27,0
2562034,37.722557,-122.46895,1,1.0,168.97,97,10,10,10,10,10,10,18.0,14.0,15.0,21.0,20.0,29.0,29.0,30.0,25.0,17.0,28.0,31.0,13,0
16086818,37.948269,-121.98937,1,1.0,70.0,88,10,9,9,10,9,8,0.0,0.5,0.0,1.0,5.0,4.0,2.0,2.0,3.0,0.0,0.0,1.0,17,0
12245027,38.085052,-122.57515,1,1.0,127.63,98,10,10,10,10,10,10,18.0,20.5,12.5,6.0,22.5,19.0,28.5,22.0,22.5,21.0,16.5,16.5,24,0
9696833,37.795849,-122.40501,1,1.0,114.88,97,10,10,10,10,10,10,10.0,3.6666667,6.5,20.0,23.0,17.5,25.5,27.5,25.0,25.5,19.5,13.333333,26,0
